paper_title,doi,publication_date,source_url,device_scope,screening_status,reason
Anion-Engineered Organic Electrochemical Transistors With Multi-Timescale Synaptic Dynamics for Task-Adaptive Spiking Neural Networks,10.1002/smll.74398,2026-07-03,https://onlinelibrary.wiley.com/doi/10.1002/smll.74398,ion-gel OECT,included_strict,Three directly reported single-exponential EPSC decay constants
Charge-Encoded Sidechains Enable Deterministic Ion Ingress and Memory Retention in Organic Electrochemical Synaptic Transistors,10.1002/adma.74192,2026-07-20,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.74192,polymer-electrolyte OEST,included_strict,Three directly reported slow LTP decay constants tau2
Bio-Derived Polyelectrolyte Additive-Induced Interfacial Ion-Diffusion Barriers for Nonvolatile Organic Artificial Synapses,10.1002/adfm.77301,2026-07-24,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adfm.77301,electrolyte-gated OEST,included_strict,Two directly reported slow PSC decay constants tau3
Azobenzene-introduced organic electrochemical transistors with enhanced synaptic properties for neuromorphic computing,10.26599/NR.2026.94909008,2026-08-12,https://www.sciopen.com/article/10.26599/NR.2026.94909008,Li-ion-gel OECT,included_supplementary,Reported tau2 is a PPF-index decay proxy rather than direct PSC retention
Molecular Backbone Regulation for Enhanced Ion Retention in Nonvolatile Organic Electrochemical Synaptic Transistors,10.1002/smll.75053,2026-08-05,https://onlinelibrary.wiley.com/doi/10.1002/smll.75053,ionic-liquid OEST,not_validation_ready,Exact tri-exponential tau values are figure-only in accessible material; no unverified digitization used
Ultralow-Energy Ti3C2Tx Ion-Gated Synaptic Transistors for Homogeneous Physical Reservoir Computing,10.1002/adfm.75734,2026-06-06,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adfm.75734,ion-gated MXene transistor,not_validation_ready,No directly reported target-aligned retention tau was found in accessible text
All-two-dimensional ion-gating synaptic transistors for high-temperature and ultralow-energy-consumption neuromorphic applications,10.1126/sciadv.aec7731,2026-07-10,https://www.science.org/doi/10.1126/sciadv.aec7731,solid-ion-gating 2D transistor,excluded_target_mismatch,Reports retention exceeding 10000 s rather than a fitted decay constant tau
Linking device dynamics to neural network performance in ionically gated synaptic transistors,10.1038/s41598-026-59993-8,2026-07-01,https://www.nature.com/articles/s41598-026-59993-8,ionically gated MoS2 transistor,excluded_no_tau,No directly reported target-aligned retention tau was identified
Correspondence of Plasticity and Hysteresis in Organic Electrochemical Transistor Synapses,10.1021/acsaelm.6c00658,2026-06-30,https://pubs.acs.org/doi/10.1021/acsaelm.6c00658,OECT theory and experiment,excluded_no_tau,Mechanistic correspondence study without a validation-ready experimental retention target
Tactile Neuromorphic Ion-Gated Vertical Transistor Displays Enabling Dual-Output Reservoir Computing,10.1021/acsnano.6c05264,2026-06-30,https://pubs.acs.org/doi/10.1021/acsnano.6c05264,ion-gated vertical transistor,excluded_no_tau,Pressure-dependent relaxation is reported but an exact target-aligned tau was not found
Flexible electrolyte-gated oxide transistors for synaptic memory and neuromorphic computing,10.1063/5.0325815,2026-07-23,https://pubs.aip.org/aip/apl/article/129/3/033304/3399146/Flexible-electrolyte-gated-oxide-transistors-for,electrolyte-gated oxide transistor,excluded_no_tau,Uses forgetting and phenomenological weighting without a validation-ready reported tau
End-to-End Neuron-inspired Signal Transduction Using Organic Electrochemical Transistors,,2026-07-16,https://link.springer.com/search?query=End-to-End+Neuron-inspired+Signal+Transduction+Using+Organic+Electrochemical+Transistors,OECT system,excluded_no_tau,System-level signal pathway paper; no target-aligned reported retention tau identified
Coupled dual-channel memristors for hardware-native trustworthy Bayesian intelligence,10.1038/s41467-026-74898-w,2026-06-26,https://www.nature.com/articles/s41467-026-74898-w,ion-gel ZnO memristor,excluded_device_scope,Memristor architecture is outside the trained transistor input schema
Rate Programmable Ionic-Redox Switching with Tunable Volatility in CuCrP2S6,10.48550/arXiv.2606.25679,2026-06-24,https://arxiv.org/abs/2606.25679,two-terminal ionic-redox device,excluded_device_scope,Preprint and two-terminal device are outside the trained transistor input schema
Performance Enhancement of Tin Chloride-Incorporated Ferroelectric Polymer-Based Artificial Synapse for Hardware Neural Networks,10.1002/adfm.77012,2026-07,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adfm.77012,ferroelectric polymer synapse,excluded_mechanism_scope,Dominant ferroelectric phase-transition mechanism does not match the defined ion-retention target
Hydrogen-Bond-Driven Ion Retention in Electrolyte-Gated Synaptic Transistors,10.1002/adfm.75576,2026-04-24,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adfm.75576,electrolyte-gated synaptic transistor,excluded_date,Published before the 2026-06-01 lower bound
Overcoming Volatility in Ion Gel via Ag Doping for Nonvolatile Memristive Switching,10.1021/acsomega.5c08106,2026-02-03,https://pubs.acs.org/doi/10.1021/acsomega.5c08106,ion-gel memristor,excluded_date,Published before the 2026-06-01 lower bound and outside transistor scope
